crop,year,eCy,RTS,tauC,TFP
wheat,2004,0.0726711777907437,14.819619959505,-0.0105179021519378,0.143549435474393
wheat,2005,0.0978602978310415,10.8763844983534,-0.0124431551182378,0.124853180113889
wheat,2006,0.103745848340454,10.1131306991355,-0.0119051456747181,0.112293471354805
wheat,2007,0.113165282007886,9.15837085801679,-0.0116830044802545,0.101397735467133
wheat,2008,0.123152881141614,8.33717760320502,-0.0111647613967911,0.0887577791409569
wheat,2009,0.134712690238401,7.55494065311595,-0.0121495159685898,0.0886441365261701
wheat,2010,0.142171830523982,7.26783626531779,-0.0131780375087771,0.0901353913085046
wheat,2011,0.140572115376697,7.2259175338581,-0.0125151016992214,0.0879036421867695
wheat,2012,0.142249797315398,7.12012983675161,-0.0132425931477559,0.092003677985691
wheat,2013,0.153360238145936,6.63758635217967,-0.0145879900702293,0.0936950172865112
wheat,2014,0.150673016951262,6.75366637756979,-0.0130510312750881,0.0852264062222905
wheat,2015,0.164207987292447,6.17235356906794,-0.0137093029016058,0.0823680102487003
wheat,2016,0.176523116207678,5.72977511472015,-0.0143105576942295,0.0801237984650375
wheat,2017,0.189092722325172,5.34786848759635,-0.0145933078887958,0.0762672072612332
wheat,2018,0.212617726802641,4.73518141075256,-0.0164942384216915,0.077028502411267
wheat,2019,0.214115309608391,4.69950436976762,-0.0149374201836106,0.0691959608365372
wheat,2020,0.228178858644005,4.404598070626,-0.0157101807038005,0.0684082930465158
wheat,2021,0.24066230746945,4.18239685048912,-0.0159666234368537,0.0657754081233198
wheat,2022,0.253005612365009,3.97698334153425,-0.0156414505544208,0.0612174929435488
wheat,2023,0.261841453861852,3.84725891074336,-0.0154843372496873,0.0586965599668604
wheat,2024,0.280409890528209,3.57986605004874,-0.0166599927409548,0.059040838056491
