crop,year,eCy,RTS,tauC,TFP
corn,2004,0.133099716689467,7.54579068108381,-0.0178964746725921,0.135264449754291
corn,2005,0.139254897463838,7.22841733892726,-0.0182887924749601,0.132933856273323
corn,2006,0.14874865177408,6.74816171858291,-0.0182204274830509,0.12333917761398
corn,2007,0.158584071204122,6.3257238167527,-0.0180741374734079,0.114710508129106
corn,2008,0.174398276397805,5.74295199460903,-0.0169461535913817,0.0974396941650543
corn,2009,0.17565879769653,5.70979437577423,-0.0179236168317495,0.10250366073151
corn,2010,0.179342584511305,5.59094296690567,-0.01821162476048,0.102027755978411
corn,2011,0.184556685488177,5.43596945298791,-0.0182658661121227,0.0998323240368178
corn,2012,0.190141157950715,5.26848185371013,-0.0182318374236861,0.0962397425696051
corn,2013,0.192483582558172,5.20793286896036,-0.0190418111463787,0.0995796919915864
corn,2014,0.202288925933488,4.95046200569795,-0.019113700613964,0.0948069796760535
corn,2015,0.209927611881332,4.7703854408952,-0.0191527242398398,0.0915283258506726
corn,2016,0.217990106408674,4.59454652804956,-0.0193391117742615,0.0889895463527897
corn,2017,0.22930833215835,4.36687811202376,-0.0189483732517177,0.0828771591899521
corn,2018,0.238192190977462,4.20531984053642,-0.0188453093850534,0.0794785015229979
corn,2019,0.251109744680755,3.98928107718208,-0.0182925061386615,0.0731987698429915
corn,2020,0.257671053635356,3.8886885828613,-0.0185614540811797,0.07247722972872
corn,2021,0.268841999266524,3.72540610366777,-0.0180676133912897,0.0675321752049103
corn,2022,0.280958665118779,3.56832767253444,-0.0175657312633535,0.063029353598777
corn,2023,0.297590027296707,3.36779886339503,-0.0164438279133123,0.0557529843192131
corn,2024,0.300736745284736,3.33008632756738,-0.0173393005819726,0.0579473937390296
