draw,metric,group_or_item,year,value
1,daily_kcal_per_cap_weighted,dairyegg,2030.0,64.10140615250606
1,daily_kcal_per_cap_weighted,dairyegg,2050.0,65.00944428438092
1,daily_kcal_per_cap_weighted,grain,2030.0,809.9820041706841
1,daily_kcal_per_cap_weighted,grain,2050.0,812.2995773083478
1,daily_kcal_per_cap_weighted,meatsea,2030.0,349.5686217201016
1,daily_kcal_per_cap_weighted,meatsea,2050.0,354.7162048299253
1,daily_kcal_per_cap_weighted,oil,2030.0,240.15105216215457
1,daily_kcal_per_cap_weighted,oil,2050.0,240.0962838565928
1,daily_kcal_per_cap_weighted,vegfruit,2030.0,105.16468271207584
1,daily_kcal_per_cap_weighted,vegfruit,2050.0,105.55682963748636
1,feed_grain_million_ton,aquatic,2030.0,24.251234997888247
1,feed_grain_million_ton,aquatic,2050.0,23.180126027762633
1,feed_grain_million_ton,beef,2030.0,39.605964836455406
1,feed_grain_million_ton,beef,2050.0,38.416413362189694
1,feed_grain_million_ton,egg,2030.0,45.57335721674239
1,feed_grain_million_ton,egg,2050.0,44.08426419205403
1,feed_grain_million_ton,milk,2030.0,10.444883283874407
1,feed_grain_million_ton,milk,2050.0,10.1500907761678
1,feed_grain_million_ton,mutton,2030.0,25.988549795779218
1,feed_grain_million_ton,mutton,2050.0,25.970731556085376
1,feed_grain_million_ton,pork,2030.0,150.41224332575834
1,feed_grain_million_ton,pork,2050.0,145.60852176668664
1,feed_grain_million_ton,poultry,2030.0,46.59035079115005
1,feed_grain_million_ton,poultry,2050.0,45.514212536735506
1,income_elasticity_median_income,dairyegg,,0.1874761691511184
1,income_elasticity_median_income,grain,,-0.1753484178771667
1,income_elasticity_median_income,meatsea,,0.1052368957482732
1,income_elasticity_median_income,nonfood,,1.139457556771383
1,income_elasticity_median_income,oil,,-0.1277428623825289
1,income_elasticity_median_income,vegfruit,,0.177870226863733
2,daily_kcal_per_cap_weighted,dairyegg,2030.0,76.02854607808086
2,daily_kcal_per_cap_weighted,dairyegg,2050.0,79.19459763077225
2,daily_kcal_per_cap_weighted,grain,2030.0,706.8214355333268
2,daily_kcal_per_cap_weighted,grain,2050.0,672.6698143695359
2,daily_kcal_per_cap_weighted,meatsea,2030.0,345.0317502822157
2,daily_kcal_per_cap_weighted,meatsea,2050.0,355.76890426456436
2,daily_kcal_per_cap_weighted,oil,2030.0,230.17344432660013
2,daily_kcal_per_cap_weighted,oil,2050.0,224.1526437148445
2,daily_kcal_per_cap_weighted,vegfruit,2030.0,128.4719344646856
2,daily_kcal_per_cap_weighted,vegfruit,2050.0,133.71658356678753
2,feed_grain_million_ton,aquatic,2030.0,23.95257073849002
2,feed_grain_million_ton,aquatic,2050.0,23.234247552220307
2,feed_grain_million_ton,beef,2030.0,38.98130018558703
2,feed_grain_million_ton,beef,2050.0,38.35496590016011
2,feed_grain_million_ton,egg,2030.0,54.01057123027946
2,feed_grain_million_ton,egg,2050.0,53.65938072052553
2,feed_grain_million_ton,milk,2030.0,12.414889710757258
2,feed_grain_million_ton,milk,2050.0,12.392454504070765
2,feed_grain_million_ton,mutton,2030.0,25.44383145799083
2,feed_grain_million_ton,mutton,2050.0,25.76669086989382
2,feed_grain_million_ton,pork,2030.0,148.51390271439126
2,feed_grain_million_ton,pork,2050.0,146.14362573667344
2,feed_grain_million_ton,poultry,2030.0,45.977514759217904
2,feed_grain_million_ton,poultry,2050.0,45.62694824068621
2,income_elasticity_median_income,dairyegg,,0.5727351216233655
2,income_elasticity_median_income,grain,,-0.7744140971986762
