进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2004-12,07141010,鲜木薯,13826.001,953650.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口保税服务总公司,国有企业,河口县北山大道1号,0873 3421425,0873 3421425,661300,,侬翔,云南省昆明,hs071410,usd
进口,2004-12,07141010,鲜木薯,653.00006,45070.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口金鑫商贸有限公司,私营企业,河口县商贸街107号,08733422228,08733422228,661300,,张发全,云南省昆明,hs071410,usd
进口,2004-12,07141010,鲜木薯,6550.0,451800.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口金鑫商贸有限公司,私营企业,河口县商贸街107号,08733422228,08733422228,661300,,张发全,云南省红河,hs071410,usd
进口,2004-12,07141010,鲜木薯,25302.0,1745190.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口保税服务总公司,国有企业,河口县北山大道1号,0873 3421425,0873 3421425,661300,,侬翔,云南省红河,hs071410,usd
进口,2004-12,07141010,鲜木薯,5762.0,397450.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口保税服务总公司,国有企业,河口县北山大道1号,0873 3421425,0873 3421425,661300,,侬翔,云南省河口,hs071410,usd
进口,2004-12,07141020,木薯干,32216.0,533286.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县对外经济贸易公司,国有企业,河口县人民路6号,0873 3421859,0873 3421859,661300,,谭智,云南省红河,hs071410,usd
进口,2004-12,07141020,木薯干,14670.0,257297.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口合丰商贸有限公司,私营企业,河口县商贸街延长段32号,13087451035,08733427691,661300,,廖锦屏,云南省昆明,hs071410,usd
进口,2004-12,07141020,木薯干,3249.0,57220.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口合丰商贸有限公司,私营企业,河口县商贸街延长段32号,13087451035,08733427691,661300,,廖锦屏,云南省红河,hs071410,usd
进口,2004-12,07141020,木薯干,47166.0,830537.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口保税服务总公司,国有企业,河口县北山大道1号,0873 3421425,0873 3421425,661300,,侬翔,云南省昆明,hs071410,usd
进口,2004-12,07141020,木薯干,45234.0,624000.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,金平县边贸总公司,国有企业,金河镇南正街,0873 5221584,0873 5221584,661500,,王玉斌,云南省昆明,hs071410,usd
进口,2004-12,07141020,木薯干,17686.0,244000.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,,私营企业,,,,,,,云南省昆明,hs071410,usd
进口,2004-12,07141020,木薯干,2464.0,34000.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,,私营企业,,,,,,,云南省红河,hs071410,usd
进口,2004-12,07141020,木薯干,85400.0,1220000.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,防城港市东惠有限责任公司,私营企业,防城港市港口区兴港大道15号14栋202房,0770 2836916,0770 2836916,538001,,邓秋萍,广西防城港市,hs071410,usd
进口,2004-12,07141020,木薯干,1134399.0,10927500.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,胜利油田胜大集团总公司,集体企业,东营市东营区胜利镇,,0546 8364186,257055,,张光廉,山东省东营,hs071410,usd
进口,2004-12,07141020,木薯干,392892.0,3406200.0,公斤,越南,一般贸易,青岛海关,江海运输,越南,烟台新潮进出口贸易有限公司,集体企业,烟台市牟平城区牟山路98号,,0535 4259787,264100,,宋向阳,山东省龙口,hs071410,usd
进口,2004-12,07141020,木薯干,611506.0,5983949.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,青岛中化实业有限公司,国有企业,青岛市市南区香港中路20号黄金广场北办公大楼,,0532 5021676,266071,,苗平,山东省青岛,hs071410,usd
进口,2004-12,07141020,木薯干,1273355.0,12586673.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,青岛中化实业有限公司,国有企业,青岛市市南区香港中路20号黄金广场北办公大楼,,0532 5021676,266071,,苗平,山东省日照,hs071410,usd
进口,2004-12,07141020,木薯干,721188.0,6919254.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省东方国际贸易股份有限公司,国有企业,青岛市市南区太平路51号,0532-2971838,0532 2972596,266001,,李兆兴,山东省烟台,hs071410,usd
进口,2004-12,07141020,木薯干,714824.0,6985032.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,福建省榕江进出口公司,国有企业,福州市湖东路168号宏利大厦28层,,0591 7834394,350001,,洪仕建,山东省潍坊,hs071410,usd
进口,2004-12,07141020,木薯干,521285.0,4891490.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,上海上实国际贸易(集团)有限公司,国有企业,,021-64277727,021  64277728,200030,siicgm@mail.online.sh.cn,刘筱珊,山东省临沂,hs071410,usd
进口,2004-12,07141020,木薯干,1179202.0,11662441.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,中化天津进出口公司,国有企业,天津市河西区南京路58号,022  23146206,022  23146200,300042,,王飞,山东省枣庄,hs071410,usd
