进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2002-09,07141020,木薯干,505211.0,4953052.0,公斤,越南,进料加工贸易,南京海关,江海运输,越南,冶钢集团进出口有限责任公司,国有企业,,,0714 6293433,435001,,刘建新,湖北省黄石,hs071410,usd
进口,2002-09,07141020,木薯干,1308001.0,13831711.0,公斤,印度尼西亚,一般贸易,南京海关,江海运输,印度尼西亚,太仓新太酒精有限公司,外商独资企业,江苏省太仓市城厢镇古塘街,0520 3515645,0520 3524778,215400,,蔡德鑫,江苏省太仓,hs071410,usd
进口,2002-09,07141020,木薯干,784543.0,9381620.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,河南省轻工业品进出口公司,国有企业,郑州市健康路159号,0371-3940588,0371-3944382,450053,,屈政河,四川省德阳,hs071410,usd
进口,2002-09,07141020,木薯干,413911.0,4350000.0,公斤,印度尼西亚,进料加工贸易,南京海关,江海运输,印度尼西亚,太仓新太酒精有限公司,外商独资企业,江苏省太仓市城厢镇古塘街,0520 3515645,0520 3524778,215400,,蔡德鑫,江苏省太仓,hs071410,usd
进口,2002-09,07141020,木薯干,1784820.0,21445800.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,中化山东进出口集团公司,国有企业,青岛市香港中路20号黄金广场北楼,0532-5021666,0532-5021711,266071,mail@sinochem-sd.com,房刚,江苏省徐州,hs071410,usd
进口,2002-09,07141020,木薯干,7033.0,78500.0,公斤,泰国,其他,南京海关,江海运输,泰国,太仓新太酒精有限公司,外商独资企业,江苏省太仓市城厢镇古塘街,0520 3515645,0520 3524778,215400,,蔡德鑫,江苏省太仓,hs071410,usd
进口,2002-09,07141020,木薯干,473434.0,5553094.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,日照恒信工贸公司,国有企业,,,,,,,山东省日照,hs071410,usd
进口,2002-09,07141020,木薯干,2256788.0,27623660.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东金沂蒙集团有限公司,私营企业,,,,,,,山东省临沂,hs071410,usd
进口,2002-09,07141020,木薯干,812694.0,9900000.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,中化山东进出口集团公司,国有企业,青岛市香港中路20号黄金广场北楼,0532-5021666,0532-5021711,266071,mail@sinochem-sd.com,房刚,山东省淄博,hs071410,usd
进口,2002-09,07141020,木薯干,378506.0,4717130.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省嘉华对外贸易有限公司,国有企业,青岛市巫峡路25号,,3894127,266002,,吴洪祥,山东省青岛,hs071410,usd
进口,2002-09,07141020,木薯干,1736039.0,21409080.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省粮油集团总公司,国有企业,山东省济南市泺源大街3号,,0531 6958867,250063,,孟庆秀,山东省日照,hs071410,usd
进口,2002-09,07141020,木薯干,438301.0,5312900.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,中化物产股份有限公司,国有企业,东城和平里七区四号楼,,01064238604,100013,,周德春,江苏省连云港,hs071410,usd
进口,2002-09,07141020,木薯干,1796060.0,21652644.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,中粮国际（北京）有限公司,外商独资企业,建国门内大街8号中粮广场A座11层,010-6578672,010-65268888-1703,100005,,,北京市东城区,hs071410,usd
进口,2002-09,07141020,木薯干,431066.0,5256906.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省国际贸易集团日照公司,国有企业,日照市艳阳路18号,,0633 8230326,276800,,杨勇,山东省临沂,hs071410,usd
进口,2002-09,07141020,木薯干,440737.0,5374845.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省国际贸易集团日照公司,国有企业,日照市艳阳路18号,,0633 8230326,276800,,杨勇,山东省日照,hs071410,usd
进口,2002-09,07141020,木薯干,1730572.0,22183000.0,公斤,泰国,一般贸易,湛江海关,江海运输,泰国,中国北方工业湛江公司,国有企业,广东省湛江市海滨二路6号,0759-2260989,0759-2260999,524005,,邱多根,四川省内江,hs071410,usd
进口,2002-09,07141020,木薯干,54881.0,914680.0,公斤,越南,边境小额贸易,海口海关,江海运输,越南,儋州市边境贸易发展公司,国有企业,儋州市老市委大院三楼,,890 6723962,570125,,黄敦良,海南洋浦经济技术开发区,hs071410,usd
进口,2002-09,07141020,木薯干,1820.0,18574.0,公斤,越南,一般贸易,南宁海关,江海运输,越南,南宁柠檬酸有限公司,中外合资企业,广西壮族自冶区南宁市北湖北路11-1号,0771 3113658,0771 3319358,530001,,曾宁,广西壮族南宁,hs071410,usd
进口,2002-09,07141020,木薯干,55815.0,930254.0,公斤,越南,一般贸易,南宁海关,江海运输,越南,广西防城港进出口贸易公司,国有企业,中国广西防城港市港口区邮电大道中段,0770-2822478,0770-2822288,538001,,田云祥,广西壮族北海,hs071410,usd
进口,2002-09,07141020,木薯干,73800.0,1230000.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,广西防城港进出口贸易公司,国有企业,中国广西防城港市港口区邮电大道中段,0770-2822478,0770-2822288,538001,,田云祥,广西壮族北海,hs071410,usd
进口,2002-09,07141020,木薯干,100982.0,1030426.0,公斤,越南,进料加工贸易,南宁海关,江海运输,越南,南宁柠檬酸有限公司,中外合资企业,广西壮族自冶区南宁市北湖北路11-1号,0771 3113658,0771 3319358,530001,,曾宁,广西壮族南宁,hs071410,usd
进口,2002-09,07141020,木薯干,43667.0,727790.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,靖西县边境经济贸易总公司,国有企业,广西百色地区靖西县新靖镇城东路,0776-6215853,0776-6212143,533800,,黄大飞,广西壮族北海,hs071410,usd
进口,2002-09,07141020,木薯干,28997.0,400000.0,公斤,越南,边境小额贸易,昆明海关,铁路运输,越南,河口保税服务总公司,国有企业,云南省河口,,,,,,四川省其它,hs071410,usd
进口,2002-09,07141020,木薯干,775.0,10690.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300,,蔡光祥,云南省其它,hs071410,usd
进口,2002-09,07141020,木薯干,24458.0,337420.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口保税服务总公司,国有企业,云南省河口,,,,,,云南省其它,hs071410,usd
进口,2002-09,07141020,木薯干,44603.0,743380.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,靖西县边境经济贸易总公司,国有企业,广西百色地区靖西县新靖镇城东路,0776-6215853,0776-6212143,533800,,黄大飞,广西壮族南宁,hs071410,usd
进口,2002-09,07141020,木薯干,20738.0,343280.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口蒙自商行,国有企业,云南省河口,,,,,,云南省其它,hs071410,usd
进口,2002-09,10020010,种用黑麦,1.0,3.0,公斤,日本,来料加工装配贸易,大连海关,江海运输,日本,大连华孚进出口集团有限公司,国有企业,大连市中山区鲁迅路78号,0411 2709604,0411 2709255,116001,,徐秋华,辽宁省大连,hs100200,usd
进口,2002-09,10020090,其他黑麦,348.0,795.0,公斤,美国,保税区仓储转口货物,上海海关,江海运输,加拿大,上海近铁物流有限公司,外商独资企业,上海市外高桥保税区德堡路11号46号厂房,021-50480531,021-50481616,200131,,永田照之,上海外高桥保税区,hs100200,usd
