进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,3875976.0,11904275.0,千克,美国,,洋山海关（港区）,江海运输,美国,常州机械设备进出口有限公司,国有企业,江苏省常州市怀德北路29号,05196602308,05196684880,213002.0,,王国庆,常州其他,hs230330,usd
进口,2012.0,100590000,玉米，种用除外,667257.0,2009784.0,千克,美国,,张保税区,航空运输,美国,南通日照国际贸易有限公司,私营企业,工农路105号宏信大厦401室,,0513-5293361,226001.0,,秦金泉,南通其他,hs100590,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,20962211.0,65347899.0,千克,美国,,张保税区,汽车运输,美国,南通日照国际贸易有限公司,私营企业,工农路105号宏信大厦401室,,0513-5293361,226001.0,,秦金泉,南通其他,hs230330,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,173363.0,973940.0,千克,韩国,,连云港关,江海运输,韩国,韩友(连云港)贸易有限公司,,,,,,,,连云港经济技术开发区,hs230330,usd
进口,2012.0,100590000,玉米，种用除外,15705386.0,54504833.0,千克,美国,,连云港关,江海运输,美国,连云港中外运保税服务有限公司,国有企业,,,,,,,连云港其他,hs100590,usd
进口,2012.0,100390000,其他大麦,1260207.0,3166029.0,千克,韩国,,连云港关,汽车运输,韩国,连云港环泰进出口贸易有限公司,私营企业,,,,,,,连云港其他,hs100300,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,1602412.0,9265130.0,千克,韩国,,连云港关,铁路运输,韩国,连云港信同进出口贸易有限公司,,,,,,,,连云港其他,hs230330,usd
进口,2012.0,100390000,其他大麦,41320.0,107054.0,千克,韩国,,连云港关,江海运输,韩国,连云港市成俊进出口贸易有限公司,,,,,,,,连云港其他,hs100300,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,852524.0,4827062.0,千克,韩国,进料加工贸易,连云港关,江海运输,韩国,连云港邦斯迪饲料有限公司,,,,,,,,连云港其他,hs230330,usd
进口,2012.0,100390000,其他大麦,21138514.0,70150260.0,千克,澳大利亚,,青开发区,江海运输,澳大利亚,江苏省农垦麦芽有限公司,,,,,,,,盐城,hs100300,usd
进口,2012.0,100390000,其他大麦,5028261.0,13650000.0,千克,阿根廷,进料加工贸易,南通海关,江海运输,阿根廷,永顺泰(宝应)麦芽有限公司,外商独资企业,江苏省宝应县苏中南路86号,,0514-8276558,225800.0,,翟治明,扬州,hs100300,usd
进口,2012.0,100390000,其他大麦,7919892.0,25983060.0,千克,澳大利亚,,南通海关,江海运输,澳大利亚,永顺泰(宝应)麦芽有限公司,外商独资企业,江苏省宝应县苏中南路86号,,0514-8276558,225800.0,,翟治明,扬州,hs100300,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,1063.0,8500.0,千克,日本,进料加工贸易,,汽车运输,日本,江苏恒顺集团镇江国际贸易有限公司,国有企业,镇江市中山路381号中山大厦9楼,0511 5234194,0511 5221991,212001.0,,叶有伟,镇江,hs230330,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,13066670.0,39144898.0,千克,美国,来料加工装配贸易,浦东机场,汽车运输,美国,中粮东海粮油工业（张家港）有限公司,外商独资企业,江苏省张家港市港区镇,0520 8388207,0520 8388500,215634.0,,刘福春,张家港其他,hs230330,usd
进口,2012.0,100790000,其他食用高梁,411952.0,1545380.0,千克,澳大利亚,进料加工贸易,吴淞海关,江海运输,澳大利亚,上海尊融国际贸易有限公司,173,上海市浦东新区民生路550号609室,58527781,021-58858654,31222.0,,张冠玲,上海浦东新区,hs100700,usd
进口,2012.0,100490000,其他燕麦,26339.0,510.0,千克,美国,,外高桥关,江海运输,美国,北京利佰嘉国际贸易有限公司,,,,,11059.0,,,朝阳区,hs100400,usd
进口,2012.0,100490000,其他燕麦,26339.0,908.0,千克,美国,,外高桥关,江海运输,美国,北京利佰嘉国际贸易有限公司,,,,,11059.0,,,朝阳区,hs100400,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,409880.0,1375452.0,千克,美国,进料加工贸易,外港海关,江海运输,美国,浙江良友粮贸有限公司,173,蓝天商务中心13A,88234782,0571-88234783,33019.0,zjliangyou888@hotmail.com,季惠君,杭州其他,hs230330,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,682963.0,2029567.0,千克,美国,,外港海关,航空运输,美国,浙江特产亿丰贸易有限公司,159,丹枫路788号,87821051,0571-87821058,33019.0,,翁加丰,杭州其他,hs230330,usd
进口,2012.0,230330000,酿造及蒸馏过程中的糟粕及残渣,1547178.0,4458454.0,千克,美国,,外港海关,江海运输,美国,上海浦耀贸易有限公司,173,上海市浦东新区航头镇大麦湾工业区5842号118幢,58228542,021-58222000,31169.0,,沈韧,南汇,hs230330,usd
