进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2011.0,100400900,其他燕麦,374237.0,1054152.0,千克,601.0,,东莞海关寮步车检场,江海运输,601.0,,173,东莞市虎门镇南栅第五工业区民昌路7巷2号,85564451,0769-85564450,44199.0,idealfood@vip.163.com,单志超,东莞,hs100400,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,919464.0,3088648.0,千克,502.0,,东莞海关寮步车检场,江海运输,502.0,,171,麻二工业区,,,44199.0,,周忠顺,东莞,hs230330,usd
进口,2011.0,100400900,其他燕麦,3892683.0,10692325.0,千克,601.0,,东莞海关寮步车检场,江海运输,601.0,,173,东莞市虎门镇南栅第五工业区民昌路7巷2号,85564451,0769-85564450,44199.0,idealfood@vip.163.com,单志超,东莞,hs100400,usd
进口,2011.0,100510000,种用玉米,276.0,27.0,千克,424.0,,皇岗海关,江海运输,424.0,,159,北京市海淀区中关村大街27号中关村大厦14层1406室,82856885,010-82856885,11083.0,lty928@hotmail.com,李绍明,北京海淀科技园区,hs100510,usd
进口,2011.0,100590000,玉米，种用除外,160080.0,250386.0,千克,502.0,进料加工贸易,大铲湾海关,江海运输,502.0,,,,,,44539.0,,,宝安区,hs100590,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,4056292.0,13653919.0,千克,502.0,,霞山海关,汽车运输,502.0,,160,广东省湛江市麻章经济开发区金康中路,2708169,0759-3638010,44089.0,,陈丹,湛江其他,hs230330,usd
进口,2011.0,100590000,玉米，种用除外,148647.0,629505.0,千克,119.0,,勐腊海关,江海运输,119.0,,,,,,53099.0,,,普洱,hs100590,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,141164.0,530100.0,千克,502.0,,厦海沧办,江海运输,502.0,福建省漳州三友贸易有限公司,私营企业,漳州市元光北路金冠花园3-304,,0596 2912297,363000.0,,黄金山,漳州,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,304232.0,1017860.0,千克,502.0,,,江海运输,502.0,山东明达兽药饲料有限公司,集体企业,济南市济微路136号,,0531-7965645,250022.0,,毕新平,济南其他,hs230330,usd
进口,2011.0,100510000,种用玉米,4486.0,265.0,千克,305.0,进料加工贸易,青机场关,汽车运输,305.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,25516.0,1810.0,千克,402.0,,青机场关,航空运输,402.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,3837.0,275.0,千克,412.0,,青机场关,江海运输,412.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,2594.0,186.0,千克,410.0,保税区仓储转口货物,青机场关,航空运输,410.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,318.0,10.0,千克,244.0,来料加工装配贸易,青机场关,航空运输,244.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,3920.0,280.0,千克,129.0,进料加工贸易,青机场关,江海运输,129.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,100510000,种用玉米,3264.0,233.0,千克,111.0,,青机场关,江海运输,111.0,山东金种子农业发展有限公司,,,,,,,,济南其他,hs100510,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,57151.0,207956.0,千克,502.0,进料加工贸易,,汽车运输,502.0,招商局国际码头(青岛)有限公司,,,,,,,,青岛前湾保税港区,hs230330,usd
进口,2011.0,100300900,其他大麦,217067.0,490040.0,千克,305.0,,青开发区,航空运输,305.0,青岛啤酒股份有限公司,中外合资企业,青岛市登州路56号,0532-5714533,0532 5712437,266023.0,,李桂荣,青岛其他,hs100300,usd
进口,2011.0,100300900,其他大麦,52030616.0,142792420.0,千克,601.0,进料加工贸易,青开发区,航空运输,601.0,青岛啤酒股份有限公司,中外合资企业,青岛市登州路56号,0532-5714533,0532 5712437,266023.0,,李桂荣,青岛其他,hs100300,usd
进口,2011.0,100300900,其他大麦,24918913.0,62724984.0,千克,501.0,,青开发区,江海运输,501.0,青岛啤酒股份有限公司,中外合资企业,青岛市登州路56号,0532-5714533,0532 5712437,266023.0,,李桂荣,青岛其他,hs100300,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,106852.0,352646.0,千克,502.0,,青开发区,江海运输,502.0,索普罗迪(青岛)国际贸易有限公司,,,,,,,,青岛其他,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,5716534.0,19868762.0,千克,502.0,,青开发区,航空运输,502.0,青岛世展科技有限公司,私营企业,崂山区政府西塔楼(创业大厦),,0532 5026613,266061.0,,公维峰,青岛其他,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,20608010.0,75433512.0,千克,502.0,进料加工贸易,青开发区,汽车运输,502.0,青岛航圣国际贸易有限公司,,,,,,,,青岛其他,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,37605364.0,135172370.0,千克,502.0,进料加工贸易,青开发区,江海运输,502.0,山东六和集团有限公司,私营企业,青岛市香港中路61号阳光大厦21楼,,0532-5975566,266071.0,,陈静,青岛其他,hs230330,usd
进口,2011.0,100300900,其他大麦,12227196.0,36639900.0,千克,601.0,边境小额贸易,青开发区,江海运输,601.0,,外商独资企业,,,,,,,潍坊其他,hs100300,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,305141.0,1039463.0,千克,502.0,,青开发区,汽车运输,502.0,潍坊中基集团有限公司,,,,,,,,潍坊其他,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,66439607.0,230817570.0,千克,502.0,,青前湾港,江海运输,502.0,山东中慧国际贸易有限公司,,,,,,,,潍坊其他,hs230330,usd
进口,2011.0,100590000,玉米，种用除外,4646308.0,14818170.0,千克,502.0,,青前湾港,汽车运输,502.0,山东中慧国际贸易有限公司,,,,,,,,潍坊其他,hs100590,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,439269.0,1532775.0,千克,502.0,,青前湾港,航空运输,502.0,威海天惠科技饲料有限公司,,,,,,,,威海其他,hs230330,usd
进口,2011.0,230330000,酿造及蒸馏过程中的糟粕及残渣,319765.0,1048713.0,千克,502.0,,外港海关,汽车运输,502.0,日照市大海水产有限公司,私营企业,,,,,,,日照,hs230330,usd
