进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2000-04,07141020,木薯干,8199.0,135752.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,防城港市防城区富大实业有限公司,国有企业,防城港市防城镇人民路141号,0770 3253717,0770 3253790,538021.0,,陈波,广西壮族北海,hs071410,usd
进口,2000-04,10030090,其他大麦,1837500.0,10500000.0,公斤,澳大利亚,一般贸易,大连海关,江海运输,澳大利亚,大连华润啤酒有限公司,外商独资企业,大连市甘井子区华北路415号,0411 6600424,0411 6600582,116033.0,,黄铁鹰,辽宁省大连,hs100300,usd
进口,2000-04,10051000,种用玉米,1.0,0.0,公斤,泰国,一般贸易,昆明海关,邮件运输,泰国,中国土产畜产云南茶叶进出口公司,国有企业,中国云南省昆明市关上中路89号,0871-7182658,0871-7190068 7190065,650200.0,,贾鹏,云南省昆明,hs100510,usd
进口,2000-04,10030090,其他大麦,4095076.0,24447850.0,公斤,加拿大,一般贸易,青岛海关,江海运输,加拿大,山东省外商投资服务公司,国有企业,中国济南市泉城路180号齐鲁国际大厦7楼南区,0531-6905966,0531-6905166,250011.0,,韩小群,山东省烟台,hs100300,usd
进口,2000-04,07141020,木薯干,254449.0,2375655.0,公斤,越南,一般贸易,南京海关,江海运输,越南,罗氏中亚（无锡）柠檬酸有限公司,中外合资企业,无锡市金城桥西,0510-5406094,0510-5411888,214024.0,,王锡林,高新技术产业开发区,hs71410,usd
进口,2000-04,07141020,木薯干,199878.0,2478213.0,公斤,印度尼西亚,进料加工贸易,南京海关,江海运输,印度尼西亚,太仓新太酒精有限公司,,江苏省太仓市城厢镇古塘街,520 3524778,520 3524778,215400.0,,蔡德鑫,江苏省太仓,hs71410,usd
进口,2000-04,10030090,其他大麦,1691034.0,10805330.0,公斤,澳大利亚,进料加工贸易,深圳海关,江海运输,澳大利亚,斗门南星麦芽有限公司,,广东省珠海市斗门井岸龙坛管理区濠门围,,0756 5533238,519100.0,,DONALDSM,广东省珠海,hs100300,usd
进口,2000-04,10051000,种用玉米,30.0,16.0,公斤,法国,其他,北京海关,航空运输,法国,,,,,,,,,新疆维吾尔乌鲁木齐,hs100510,usd
进口,2000-04,10030090,其他大麦,3942803.0,28885000.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,烟台银和股份有限公司,国有企业,烟台开发区长江路10号,0535-6371191,0535-6375678,264006.0,,董军,山东省青岛,hs100300,usd
进口,2000-04,10051000,种用玉米,501.0,1000.0,公斤,法国,其他,西安海关,航空运输,法国,杨凌秦丰农业科技股份有限公司,国有企业,杨凌农业示范区西农路 六号,,0296522221,710003.0,,庄峰,陕西省西安,hs100510,usd
进口,2000-04,10030090,其他大麦,5139418.0,30500000.0,公斤,澳大利亚,一般贸易,南京海关,江海运输,澳大利亚,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,山东省济宁,hs100300,usd
进口,2000-04,10030090,其他大麦,5709240.0,33034170.0,公斤,加拿大,一般贸易,大连海关,江海运输,加拿大,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,辽宁省大连,hs100300,usd
进口,2000-04,10030090,其他大麦,5229073.0,32000000.0,公斤,澳大利亚,一般贸易,大连海关,江海运输,澳大利亚,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,辽宁省大连,hs100300,usd
进口,2000-04,10051000,种用玉米,25.0,45.0,公斤,荷兰,一般贸易,北京海关,航空运输,荷兰,北京中农科技术开发公司,国有企业,海淀区白石桥路30号,,01062181198,100081.0,,曾献儒,北京市其它,hs100510,usd
