进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2008.0,07141020,木薯干,408690.0,2720760.0,千克,141.0,进料加工贸易,蛇口海关,江海运输,141.0,,私营企业,,,,,,,湛江其他,hs071410,usd
进口,2008.0,07141020,木薯干,699131.0,3185360.0,千克,141.0,,大鹏海关,空运,141.0,广东省肇庆土产进出口公司,国有企业,广东省肇庆市江滨西路18号,0758 2831163,0758 2832042,526020,,武临黔,肇庆,hs071410,usd
进口,2008.0,10040090,其他燕麦,1845837.0,5005995.0,千克,601.0,,文锦渡关,江海运输,601.0,东莞市金马经贸有限公司,私营企业,东莞市莞太大道金马大厦五楼,0769 2223627,0769 2223627,523016.0,,黄汇滔,东莞,hs100400,usd
进口,2008.0,10040090,其他燕麦,439305.0,1280265.0,千克,601.0,,文锦渡关,汽车运输,601.0,东莞市金马经贸有限公司,私营企业,东莞市莞太大道金马大厦五楼,0769 2223627,0769 2223627,523016.0,,黄汇滔,东莞,hs100400,usd
进口,2008.0,23033000,酿造及蒸馏过程中的糟粕及残渣,157961.0,524806.0,千克,502.0,,新沙海关,江海运输,502.0,新兴县佳裕贸易有限公司,,,,,,,,云浮市,hs230330,usd
进口,2008.0,10051000,种用玉米,137913.0,5000.0,千克,601.0,,深关机场,航空运输,601.0,广西壮族自治区种子公司,国有企业,南宁市七星路135号,0771 2612749,0771 2807943,530022.0,,文信连,南宁其他,hs100510,usd
进口,2008.0,10059000,玉米，种用除外,181.0,46.0,千克,136.0,来料加工装配贸易,深关机场,江海运输,136.0,广西壮族自治区种子公司,国有企业,南宁市七星路135号,0771 2612749,0771 2807943,530022.0,,文信连,南宁其他,hs100590,usd
进口,2008.0,07141020,木薯干,182214.0,1221295.0,千克,141.0,,北海海关,汽车运输,141.0,北海新中利贸易有限公司,私营企业,市北部湾东路万隆小区二巷二号,0779 2069618,13086799850,536000.0,,陈武强,北海,hs071410,usd
进口,2008.0,07141020,木薯干,1692926.0,7903077.0,千克,141.0,,北海海关,江海运输,141.0,北海新中利贸易有限公司,私营企业,市北部湾东路万隆小区二巷二号,0779 2069618,13086799850,536000.0,,陈武强,北海,hs071410,usd
进口,2008.0,07141020,木薯干,813429.0,5530950.0,千克,141.0,,蛇口海关,江海运输,141.0,北海市富翔进出口贸易有限公司,,,,,,,,北海,hs071410,usd
进口,2008.0,10040090,其他燕麦,2711660.0,8837765.0,千克,601.0,,梧州海关,江海运输,601.0,广西贺州西麦生物食品有限公司,中外合资企业,广西贺州市迎宾大道,0774 8831168,0774 8831138,542601.0,,谢庆奎,贺州,hs100400,usd
进口,2008.0,10059000,玉米，种用除外,420311.0,2050000.0,千克,119.0,,勐腊海关,江海运输,119.0,云南绿航生物科技发展有限公司,,,,,,,,昆明高新技术产业开发区,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,329200.0,1646000.0,千克,119.0,,西双版纳,江海运输,119.0,云南省土产进出口公司,国有企业,昆明市北京路576号,0871 3136410,0871 3136461,650011.0,,郑德,昆明其他,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,55000.0,275000.0,千克,119.0,,勐腊海关,江海运输,119.0,云南天然橡胶产业股份有限公司,,,,,,,,昆明其他,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,59400.0,270000.0,千克,119.0,,勐腊海关,航空运输,119.0,昆明颖洲坝商贸有限公司,,,,,,,,昆明其他,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,204309.0,999480.0,千克,119.0,,勐腊海关,汽车运输,119.0,昆明瑞普生物技术有限公司,,,,,,,,昆明其他,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,14016.0,70000.0,千克,119.0,,勐腊海关,江海运输,119.0,云南雷林橡胶有限责任公司,,,,,,,,昆明其他,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,69691.0,339790.0,千克,119.0,,勐腊海关,江海运输,119.0,云南宝森天然橡胶开发有限公司,,,,,,,,昆明其他,hs100590,usd
进口,2008.0,07141020,木薯干,10662.0,104000.0,千克,141.0,,天保海关,江海运输,141.0,麻栗坡禄顺边贸有限公司,,,,,,,,文山,hs071410,usd
进口,2008.0,10059000,玉米，种用除外,4171.0,17800.0,千克,106.0,,孟连海关,江海运输,106.0,孟连县对外贸易公司,国有企业,云南省思茅市,,0879-8726999,665800.0,,刀学志,普洱,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,16188.0,85000.0,千克,119.0,来料加工装配贸易,思茅海关,航空运输,119.0,江城县物资有限责任公司,,,,,,,,普洱,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,42031.0,205000.0,千克,119.0,,孟连海关,江海运输,119.0,孟连森超商贸有限责任公司,,,,,,,,普洱,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,27679.0,135000.0,千克,119.0,来料加工装配贸易,思茅海关,江海运输,119.0,西盟大方外贸有限责任公司,,,,,,,,普洱,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,189461.0,923750.0,千克,106.0,,勐腊海关,江海运输,106.0,西双版纳顺源边贸有限公司,,,,,,,,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,6151.0,30000.0,千克,119.0,进料加工贸易,勐腊海关,江海运输,119.0,西双版纳合力贸易有限责任公司,,,,,,,,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,21241.0,103600.0,千克,119.0,,勐腊海关,空运,119.0,勐腊县对外贸易总公司,私营企业,勐腊县景岗街14号,,0691-8122383,666300.0,,郑品伙,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,33429.0,163256.0,千克,119.0,,勐腊海关,江海运输,119.0,勐腊县剑峰天然橡胶开发有限公司,私营企业,勐腊县城正街,,13578410928,666300.0,,贺兴拭,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,20503.0,100000.0,千克,119.0,,勐腊海关,江海运输,119.0,勐腊县嘉创橡胶商贸有限责任公司,,,,,,,,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,6151.0,30000.0,千克,119.0,进料加工贸易,勐腊海关,江海运输,119.0,勐腊泰江进出口贸易有限责任公司,,,,,,,,西双版纳,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,36495.0,178000.0,千克,119.0,,勐腊海关,汽车运输,119.0,西双版纳磨憨东部商贸有限责任公司,,,,,,,,西双版纳,hs100590,usd
进口,2008.0,10070090,其他食用高梁,4613.0,35000.0,千克,106.0,,畹町海关,汽车运输,106.0,瑞丽市畹町经济开发区盈益商号,私营企业,,,,,,,畹町,hs100700,usd
进口,2008.0,10059000,玉米，种用除外,600000.0,3000000.0,千克,106.0,,畹町海关,航空运输,106.0,瑞丽市畹町经济开发区盈益商号,私营企业,,,,,,,畹町,hs100590,usd
进口,2008.0,10070090,其他食用高梁,267285.0,2134001.0,千克,106.0,,畹町海关,邮件运输,106.0,畹町维丰贸易有限公司,,,,,,,,畹町,hs100700,usd
进口,2008.0,10070090,其他食用高梁,354710.0,2857690.0,千克,106.0,,瑞丽海关,汽车运输,106.0,瑞丽市景成集团有限公司,私营企业,瑞丽市卯喊路中段,0692 4122053,0692 4145334,678600.0,,董勒成,瑞丽,hs100700,usd
进口,2008.0,10059000,玉米，种用除外,1714.0,20000.0,千克,106.0,进料加工贸易,瑞丽海关,江海运输,106.0,瑞丽姐告柏卫电子商贸有限责任公司,私营企业,瑞丽姐告国门24号,0692 4666672,0692 4666672,678605.0,,明勇,瑞丽,hs100590,usd
进口,2008.0,07141020,木薯干,2697.0,29971.0,千克,106.0,,盈江海关,航空运输,106.0,瑞丽市绿元生物开发有限公司,,,,,,,,瑞丽,hs071410,usd
进口,2008.0,10059000,玉米，种用除外,549598.0,4000000.0,千克,106.0,,瑞丽海关,江海运输,106.0,德宏州姐告江龙贸易有限公司,,,,,,,,瑞丽,hs100590,usd
进口,2008.0,10059000,玉米，种用除外,57160.0,1000000.0,千克,106.0,,瑞丽海关,江海运输,106.0,瑞丽市坤龙贸易有限公司,,,,,,,,瑞丽,hs100590,usd
进口,2008.0,07141020,木薯干,317506.0,3751416.0,千克,141.0,边境小额贸易,河口海关,江海运输,141.0,昆明云泰贸易公司河口红溪商行,国有企业,河口县滨河路星光酒店,,0873 3421584,661300.0,,田映山,河口,hs071410,usd
进口,2008.0,07141010,鲜木薯,169855.0,5798266.0,千克,141.0,,河口海关,航空运输,141.0,昆明云泰贸易公司河口红溪商行,国有企业,河口县滨河路星光酒店,,0873 3421584,661300.0,,田映山,河口,hs071410,usd
进口,2008.0,07141020,木薯干,40988.0,466450.0,千克,141.0,,河口海关,江海运输,141.0,河口海天商贸有限公司,,,,,,,,河口,hs071410,usd
进口,2008.0,07141020,木薯干,240207.0,2823443.0,千克,141.0,进料加工贸易,河口海关,江海运输,141.0,河口恒盛商贸有限责任公司,,,,,,,,河口,hs071410,usd
进口,2008.0,07141010,鲜木薯,148532.0,5204062.0,千克,141.0,,河口海关,江海运输,141.0,河口恒盛商贸有限责任公司,,,,,,,,河口,hs071410,usd
进口,2008.0,07141010,鲜木薯,426.0,14537.0,千克,141.0,,河口海关,江海运输,141.0,河口金帝商贸有限公司,,,,,,,,河口,hs071410,usd
进口,2008.0,07141020,木薯干,4871.0,60000.0,千克,141.0,,金水河关,汽车运输,141.0,河口鹏翔商贸有限公司,私营企业,河口县人民路6号（外贸公寓二楼）,,13708637525,661300.0,,刘忠,河口,hs071410,usd
进口,2008.0,07141010,鲜木薯,9847.0,345255.0,千克,141.0,,金水河关,铁路运输,141.0,河口鹏翔商贸有限公司,私营企业,河口县人民路6号（外贸公寓二楼）,,13708637525,661300.0,,刘忠,河口,hs071410,usd
进口,2008.0,07141020,木薯干,147699.0,1777741.0,千克,141.0,,河口海关,江海运输,141.0,,私营企业,,,,,,,河口,hs071410,usd
进口,2008.0,07141010,鲜木薯,410342.0,14591399.0,千克,141.0,,河口海关,江海运输,141.0,,私营企业,,,,,,,河口,hs071410,usd
进口,2008.0,10051000,种用玉米,870.0,52.0,千克,305.0,,机场单证,江海运输,305.0,甘肃省敦煌种业股份有限公司,国有企业,甘肃省酒泉市盘旋东路10号,,0937 2665028,735000.0,,王大和,酒泉,hs100510,usd
进口,2008.0,10051000,种用玉米,3803.0,1216.0,千克,116.0,,机场单证,汽车运输,116.0,甘肃省敦煌种业股份有限公司,国有企业,甘肃省酒泉市盘旋东路10号,,0937 2665028,735000.0,,王大和,酒泉,hs100510,usd
