进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2003-01,23033000,酿造及蒸馏过程中的糟粕及残渣,8987.0,25600.0,公斤,巴西,一般贸易,天津海关,江海运输,巴西,北京汉亚饲料营养科技有限公司,中外合作企业,北京市怀柔县庙镇万通民营开发区,,010 6964487,101400.0,,张铁生,北京市怀柔,hs230330,usd
进口,2003-01,23033000,酿造及蒸馏过程中的糟粕及残渣,16690.0,51200.0,公斤,巴西,一般贸易,北京海关,江海运输,巴西,中国种畜进出口公司,国有企业,东城区东单洋溢胡同甲10号,,01067798317,100005.0,,杨成山,北京市东城区,hs230330,usd
进口,2003-01,23033000,酿造及蒸馏过程中的糟粕及残渣,250.00002,15000.0,公斤,日本,一般贸易,宁波海关,江海运输,日本,浙江惠灵对外贸易有限责任公司,国有企业,杭州下城区中山北路308号,,0571 5773818,310003.0,,龚荣祥,浙江省杭州,hs230330,usd
进口,2003-01,23033000,酿造及蒸馏过程中的糟粕及残渣,502.0,10000.0,公斤,新加坡,一般贸易,宁波海关,江海运输,新加坡,浙江惠灵对外贸易有限责任公司,国有企业,杭州下城区中山北路308号,,0571 5773818,310003.0,,龚荣祥,浙江省杭州,hs230330,usd
进口,2003-01,10070090,其他食用高梁,18121.0,250000.0,公斤,缅甸,边境小额贸易,昆明海关,汽车运输,缅甸,瑞丽市畹町再菊贸易有限公司,私营企业,,,,,,,云南省昆明,hs100700,usd
进口,2003-01,10059000,玉米，种用除外,457.0,135.0,公斤,澳大利亚,一般贸易,南宁海关,航空运输,澳大利亚,广西壮族自治区种子公司,国有企业,,,,,,,广西壮族南宁,hs100590,usd
进口,2003-01,10059000,玉米，种用除外,339.0,200.0,公斤,越南,一般贸易,南宁海关,航空运输,越南,广西壮族自治区种子公司,国有企业,,,,,,,广西壮族南宁,hs100590,usd
进口,2003-01,10059000,玉米，种用除外,2441.0,1628.0,公斤,英国,进料加工贸易,深圳海关,汽车运输,香港,越仕电器(深圳)有限公司,外商独资企业,宝安宝城26区恒城实业公司厂房,,755 27816070,518101,,何荣宾,广东省深圳,hs100590,usd
进口,2003-01,10051000,种用玉米,75.0,150.0,公斤,印度,一般贸易,北京海关,航空运输,香港,东方花卉进出口公司,国有企业,朝外大街223号,,01065521343,100020,,段继贤,北京市朝阳区,hs100510,usd
进口,2003-01,10051000,种用玉米,20.0,39.0,公斤,菲律宾,一般贸易,北京海关,航空运输,菲律宾,东方花卉进出口公司,国有企业,朝外大街223号,,01065521343,100020,,段继贤,北京市朝阳区,hs100510,usd
进口,2003-01,10051000,种用玉米,7222.0,2000.0,公斤,印度,一般贸易,天津海关,江海运输,印度,中国种子集团公司,国有企业,北京市朝阳区安贞西里4区甲1号,010-64426338,010-64426336,100029,,何忠华,北京市朝阳区,hs100510,usd
进口,2003-01,10040090,其他燕麦,281161.0,912000.0,公斤,澳大利亚,一般贸易,深圳海关,江海运输,新加坡,恩氏食品(深圳)有限公司,外商独资企业,深圳市宝安区龙华镇龙华村钓鱼台工业区,0755-28137140,0755-28137139,518109,erust@szon.net,苏育信,广东省深圳,hs100400,usd
进口,2003-01,10040090,其他燕麦,53047.0,168000.0,公斤,澳大利亚,一般贸易,深圳海关,江海运输,澳大利亚,恩氏食品(深圳)有限公司,外商独资企业,深圳市宝安区龙华镇龙华村钓鱼台工业区,0755-28137140,0755-28137139,518109,erust@szon.net,苏育信,广东省深圳,hs100400,usd
进口,2003-01,10030090,其他大麦,480.0,2000.0,公斤,澳大利亚,进料加工贸易,深圳海关,汽车运输,香港,乐厨食品(深圳)有限公司,外商独资企业,观兰镇大水坑新塘村,,755 28014483,518110,,郑伟明,广东省深圳,hs100300,usd
