进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2005-12-01,100300900,其他大麦,113746.01,617170.0,公斤,加拿大,一般贸易,天津海关,江海运输,加拿大,北京宝麦啤酒原料有限公司,中外合资企业,丰台花乡纪家庙南,,0106 3723404,100070.0,,万艳生,北京市丰台区,hs100300,usd
进口,2005-12-01,100510000,种用玉米,161.00002,10.0,公斤,法国,一般贸易,北京海关,航空运输,法国,北京市种子公司,国有企业,北京市海淀区北太平路15号,,010  62019574,100088.0,,张劲柏,北京市海淀区,hs100510,usd
进口,2005-12-01,100510000,种用玉米,537.0,105.0,公斤,菲律宾,一般贸易,北京海关,航空运输,菲律宾,北京市种子公司,国有企业,北京市海淀区北太平路15号,,010  62019574,100088.0,,张劲柏,北京市海淀区,hs100510,usd
进口,2005-12-01,100300900,其他大麦,2410372.0,12196000.0,公斤,法国,一般贸易,石家庄海关,江海运输,法国,北京燕京啤酒集团公司,国有企业,北京市顺义县城南,,010  89493360,101300.0,,李福成,北京市其它,hs100300,usd
进口,2005-12-01,100300900,其他大麦,4099304.0,20741000.0,公斤,法国,一般贸易,石家庄海关,江海运输,比利时,北京燕京啤酒集团公司,国有企业,北京市顺义县城南,,010  89493360,101300.0,,李福成,北京市其它,hs100300,usd
进口,2005-12-01,100300900,其他大麦,118653.01,637920.0,公斤,法国,一般贸易,大连海关,江海运输,法国,大连兴泽制麦有限公司,中外合资企业,大连市金州区三十里堡国营农场卫国屯,0411 87351818,0411 87351097,116103.0,,刘丰慧,辽宁省大连,hs100300,usd
进口,2005-12-01,100590000,玉米，种用除外,18756.0,17000.0,公斤,秘鲁,来料加工装配贸易,大连海关,江海运输,秘鲁,大连平和食品有限公司,外商独资企业,大连市甘井子辛寨子镇,0411 86302439,0411 86306334,116033.0,,刘冬华,辽宁省大连,hs100590,usd
进口,2005-12-01,100590000,玉米，种用除外,9689.0,20865.0,公斤,美国,一般贸易,上海海关,江海运输,美国,上海徐汇对外贸易有限公司,国有企业,浦东新区浦三路518号,021-64388769,021  64394549,200030.0,xhdwmyc@online.sh.cn,张寅,上海浦东新区,hs100590,usd
进口,2005-12-01,100400900,其他燕麦,519.0,72.0,公斤,美国,保税区仓储转口货物,上海海关,江海运输,美国,上海保税商品交易市场中国机电贸易中心,国有企业,上海外高桥保税区杨高北路2001号,,021  58660715,200131.0,,张志忠,上海外高桥保税区,hs100400,usd
进口,2005-12-01,100300900,其他大麦,255153.0,1312880.0,公斤,澳大利亚,一般贸易,上海海关,江海运输,澳大利亚,永顺泰(宝应)麦芽有限公司,外商独资企业,江苏省宝应县苏中南路86号,,0514-8276558,225800.0,,翟治明,江苏省扬州,hs100300,usd
进口,2005-12-01,100590000,玉米，种用除外,71598.0,153312.0,公斤,美国,一般贸易,上海海关,江海运输,美国,浙江省粮油食品进出口股份有限公司,国有企业,浙江省杭州市体育场路229号,0571-85152514,0571 85779999,310003.0,,朱子春,浙江省杭州,hs100590,usd
进口,2005-12-01,230330000,酿造及蒸馏过程中的糟粕及残渣,990.0,30000.0,公斤,日本,其他,宁波海关,江海运输,日本,浙江惠灵对外贸易有限责任公司,国有企业,杭州下城区中山北路308号,,0571 85773908,310003.0,,杨冠雄,浙江省其它,hs230330,usd
进口,2005-12-01,100300900,其他大麦,3740288.0,18487580.0,公斤,澳大利亚,一般贸易,宁波海关,江海运输,澳大利亚,宁波麦芽有限公司,外商独资企业,宁波经济技术开发区大港工业城,0574-86883958,0574 86888434,315800.0,,翟治明,宁波经济技术开发区,hs100300,usd
进口,2005-12-01,100300900,其他大麦,181485.0,952320.0,公斤,澳大利亚,一般贸易,厦门海关,江海运输,澳大利亚,泉州市粮油食品进出口公司,国有企业,泉州市丰泽区刺桐东路北段国际商厦8楼,0595-2110033,0595 2284893,362000.0,wmlysp@public.qz.fj.cn,陈宏均,福建省泉州,hs100300,usd
进口,2005-12-01,100300900,其他大麦,567522.0,3014250.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,烟台信中贸易有限责任公司,私营企业,烟台市芝罘区四马路82-2号,,0535 6239506,264001.0,,贺宇,山东省烟台,hs100300,usd
进口,2005-12-01,100300900,其他大麦,728944.0,3877360.0,公斤,法国,一般贸易,青岛海关,江海运输,法国,莱芜市鲁中啤酒原料有限公司,私营企业,莱城区南冶镇对仙门村北,,0634-6095555,271102.0,,尚宪启,山东省莱芜,hs100300,usd
进口,2005-12-01,100300900,其他大麦,644998.0,3504300.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,莱芜市鲁中啤酒原料有限公司,私营企业,莱城区南冶镇对仙门村北,,0634-6095555,271102.0,,尚宪启,山东省莱芜,hs100300,usd
进口,2005-12-01,100300900,其他大麦,3715066.2,18945715.0,公斤,加拿大,一般贸易,黄埔海关,江海运输,加拿大,广州麦芽有限公司,中外合资企业,广州经济技术开发区创业路2号,020 82224175,020 82224175,510730.0,,翟治明,广州经济技术开发区,hs100300,usd
