indicator,commodity,casm_code,casm_world_code,region,boundary,direct_or_lifecycle,includes_feed,includes_land_use_change,includes_processing,includes_transport,source_year,source_reference,imputed_flag,imputation_rule,can_sum_with_other_commodity_coefficients,recommended_account,double_counting_risk,audit_note
carbon,Rice,RICE,RIC,CHN,farm-gate (cradle-to-farm-gate; enteric+manure+rice CH4+energy),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Rice,RICE,RIC,WLD,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Rice,RICE,RIC,WLD,cradle-to-retail LCA,lifecycle,no,yes,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID food-emissions-supply-chain),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Wheat & Rye,WHEA,WHE,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Wheat (cereals excl. rice),WHEA,WHE,CHN,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,yes,Aggregate 'cereals excluding rice'; not wheat-specific,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Wheat (cereals excl. rice),WHEA,WHE,WLD,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,yes,Aggregate cereals excl. rice,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Maize (corn),MAIZ,CRN,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Potatoes,POTA,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Soybean (as tofu proxy),SOYS,SBS,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),yes,No whole-soybean row in P&N; tofu used as proxy; soybean oil = 6.515,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Soybean oil,SOYO,SBO,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
