county_name,year,crop,price
双城区,2021,corn,2.037037037037037
双城区,2021,soy,5.1617873651771955
双城区,2022,corn,2.2
双城区,2022,soy,5.05
双城区,2023,corn,2.0
双城区,2023,soy,4.541666666666666
双城区,2024,corn,1.6
双城区,2024,soy,3.733333333333333
桦南县,2021,corn,2.0
桦南县,2021,soy,5.00990099009901
桦南县,2022,corn,2.0
桦南县,2022,soy,5.0
桦南县,2023,corn,1.64
桦南县,2023,soy,4.5
桦南县,2024,corn,1.5
桦南县,2024,soy,4.0
甘南县,2021,corn,2.0
甘南县,2021,soy,5.333333333333333
甘南县,2022,corn,2.0
甘南县,2022,soy,5.1
甘南县,2023,corn,1.7982017982017982
甘南县,2023,soy,4.6
甘南县,2024,corn,1.6
甘南县,2024,soy,3.6
