category,cluster_def,theta_naive,se,theta_true,bias,recovery,price_var_share_prov
坚果,fine,0.0971459035649468,0.00496362164722062,0.11505928170687,-0.0179133781419232,1.18439663932867,0.0411753598104218
坚果,quarter,0.096436505712208,0.00502663113386017,0.11505928170687,-0.018622775994662,1.19310919508259,0.0411753598104218
坚果,province,0.0950622734400896,0.00519555947356626,0.11505928170687,-0.0199970082667804,1.21035693280976,0.0411753598104218
坚果,xsec_fine,0.0824278703183312,0.00306468731405813,0.11505928170687,-0.0326314113885389,1.39587837539073,0.0411753598104218
坚果,xsec_province,0.0837523350412945,0.00325231654859213,0.11505928170687,-0.0313069466655755,1.37380386648491,0.0411753598104218
大米,fine,0.0510332793501382,0.00464439280792347,0.0438155592805897,0.00721772006954849,0.858568366339387,0.0037527403049238
大米,quarter,0.0502777496974893,0.00464654021828251,0.0438155592805897,0.00646219041689965,0.87147017406743,0.0037527403049238
大米,province,0.0499756562244029,0.00518449239281484,0.0438155592805897,0.00616009694381315,0.876738047897704,0.0037527403049238
大米,xsec_fine,0.0437241861756278,0.00502383807867956,0.0438155592805897,-9.1373104961906e-05,1.00208976113575,0.0037527403049238
大米,xsec_province,0.0456817874898648,0.00540852025690087,0.0438155592805897,0.0018662282092751,0.959147215732547,0.0037527403049238
奶酪,fine,0.00636190355664813,0.00471648008885915,0.0060813467150943,0.000280556841553826,0.955900488107738,0.0659442112538604
奶酪,quarter,0.00610362811539182,0.00463608833933929,0.0060813467150943,2.2281400297519e-05,0.996349482655843,0.0659442112538604
奶酪,province,0.00699123010864795,0.00518538998754793,0.0060813467150943,0.000909883393553653,0.869853605243496,0.0659442112538604
奶酪,xsec_fine,0.00595398689033626,0.00315580754583034,0.0060813467150943,-0.000127359824758042,1.02139067940589,0.0659442112538604
奶酪,xsec_province,0.00151022506751969,0.00350089304735799,0.0060813467150943,-0.00457112164757461,4.02678173332269,0.0659442112538604
