study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch1,-0.006,0.024,,,993,,METE (multinomial endogenous treatment effects),1,1,Shandong/Hebei/Henan/Shanxi,2021,baseline,508.81,0.29,,"Table 5, Endogenous row","IV=村级AMS组织可得性; 处理效应相对不外包组; N取全样本993(表未单列); Table 5 OCR列有合并,数值经正文核对(0.062/0.053)"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch2,0.062,0.030,,**,993,,METE (multinomial endogenous treatment effects),1,1,Shandong/Hebei/Henan/Shanxi,2021,baseline,508.81,0.08,,"Table 5, Endogenous row","IV=村级AMS组织可得性; 处理效应相对不外包组; N取全样本993(表未单列); Table 5 OCR列有合并,数值经正文核对(0.062/0.053)"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch3,-0.012,0.023,,,993,,METE (multinomial endogenous treatment effects),1,1,Shandong/Hebei/Henan/Shanxi,2021,baseline,508.81,0.09,,"Table 5, Endogenous row","IV=村级AMS组织可得性; 处理效应相对不外包组; N取全样本993(表未单列); Table 5 OCR列有合并,数值经正文核对(0.062/0.053)"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch4,0.053,0.023,,**,993,,METE (multinomial endogenous treatment effects),1,1,Shandong/Hebei/Henan/Shanxi,2021,baseline,508.81,0.07,,"Table 5, Endogenous row","IV=村级AMS组织可得性; 处理效应相对不外包组; N取全样本993(表未单列); Table 5 OCR列有合并,数值经正文核对(0.062/0.053)"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch1,0.004,0.011,,,993,,OLS,0,1,Shandong/Hebei/Henan/Shanxi,2021,robust,508.81,0.29,,"Table 5, Exogenous row","外生假定OLS对照; SE列因OCR合并按位置复原,数值可回溯核对"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch2,0.035,0.017,,**,993,,OLS,0,1,Shandong/Hebei/Henan/Shanxi,2021,robust,508.81,0.08,,"Table 5, Exogenous row","外生假定OLS对照; SE列因OCR合并按位置复原,数值可回溯核对"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch3,0.004,0.015,,,993,,OLS,0,1,Shandong/Hebei/Henan/Shanxi,2021,robust,508.81,0.09,,"Table 5, Exogenous row","外生假定OLS对照; SE列因OCR合并按位置复原,数值可回溯核对"
101-Agribusiness_-_2025_-_Ding_-_Outsourcing_Fertilizer_Mechanization_Services_t,"Ding, Mugera & Zhao (2025)",en,Yield,AMS,whea,"wheat yield (kg/mu), log (treatment effects interpreted as %)",outsourcing FMS dummy Ch4,0.004,0.020,,,993,,OLS,0,1,Shandong/Hebei/Henan/Shanxi,2021,robust,508.81,0.07,,"Table 5, Exogenous row","外生假定OLS对照; SE列因OCR合并按位置复原,数值可回溯核对"
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (plowing),47.973,11.443,,***,394,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,baseline,539.21,0.48,,"Table 5 cols(1)-(4), plowing",IV=工资-租金比; kg/mu水平模型
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (transplanting),23.715,2.927,,***,394,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,baseline,539.21,0.27,,"Table 5 cols(1)-(4), transplanting",IV=工资-租金比; kg/mu水平模型
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (pesticide spraying),-21.259,4.630,,***,394,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,baseline,539.21,0.09,,"Table 5 cols(1)-(4), pesticide spraying",IV=工资-租金比; kg/mu水平模型
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (harvesting),7.879,4.667,,*,394,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,baseline,539.21,0.81,,"Table 5 cols(1)-(4), harvesting",IV=工资-租金比; kg/mu水平模型
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (plowing),15.459,12.768,,,394,,OLS,0,1,Heilongjiang/Zhejiang/Sichuan,2018,robust,539.21,0.48,,"Table 5 cols(5)-(8), plowing","未纠内生的OLS对照,均不显著"
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (transplanting),9.377,16.650,,,394,,OLS,0,1,Heilongjiang/Zhejiang/Sichuan,2018,robust,539.21,0.27,,"Table 5 cols(5)-(8), transplanting","未纠内生的OLS对照,均不显著"
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (pesticide spraying),-3.941,18.834,,,394,,OLS,0,1,Heilongjiang/Zhejiang/Sichuan,2018,robust,539.21,0.09,,"Table 5 cols(5)-(8), pesticide spraying","未纠内生的OLS对照,均不显著"
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (harvesting),8.209,15.966,,,394,,OLS,0,1,Heilongjiang/Zhejiang/Sichuan,2018,robust,539.21,0.81,,"Table 5 cols(5)-(8), harvesting","未纠内生的OLS对照,均不显著"
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (pesticide spraying),-19.123,3.694,,***,,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,subgroup,539.21,0.09,,Table 6 col(2),子样本:only professional providers; 表未报告子样本N
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (pesticide spraying),43.120,2.789,,***,,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,subgroup,539.21,0.09,,Table 6 col(3),子样本:with labor supervision; 表未报告子样本N
102-Agricultural_Economics_-_2022_-_Lu_-_Adoption_patterns_and_productivity_impa,"Lu, Du & Qiu (2022)",en,Yield,AMS,rice,"rice yield (kg/mu), level",AMS adoption dummy (pesticide spraying),99.740,13.850,,***,,,garden-variety 3SLS (MVP+IV),1,1,Heilongjiang/Zhejiang/Sichuan,2018,subgroup,539.21,0.09,,Table 6 col(4),子样本:professional+supervision; 表未报告子样本N
