study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes
212-The_cropland_intensive_utilisation_transition_in_China,Ke et al.,en,Yield,MCI,cgrn,ln(grain yield per unit cropland area),"ln(labour-saving factors: agricultural machinery power per unit cropland, kw/area)",0.07,,2.06,*,42,,ML估计C-D生产函数,0,0,China national,1978-2019,baseline,,,0.07,Table 2,"机械化(劳动节约要素γ)为C-D生产函数投入弹性之一,近似控制变量性质;该文星号定义特殊:*=5%,**=1%,***=0.1%;R2=0.71;出版年OCR未见(引用含2023文献,约2023-2024)"
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,cgrn,"Sown area of grain crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",528.1844,,13.38,***,526,,"3SLS(联立方程,IV=农机购置补贴)",1,0,China 31 provinces,2000-2016,baseline,3484.05,2.69,,Table 2 col Grain,括号内为z统计量;grain含rice/wheat/corn/beans/tubers
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,mixed,"Sown area of non-grain crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",-115.3222,,-7.73,***,526,,3SLS(IV=补贴),1,0,China 31 provinces,2000-2016,baseline,711.93,2.69,,Table 2 col Non-grain,"非粮作物(棉/油/糖等)播种面积,为趋粮化/种植结构的镜像证据,若仅统计粮食面积可剔除;z值"
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,cgrn,"Share of grain crops in total sown area (ratio, level)","Total power of agricultural machinery (million kw, level)",0.0107,,3.62,***,526,,3SLS(IV=补贴),1,0,China 31 provinces,2000-2016,baseline,0.83,2.69,,Table 2 col Share of grain crops,种粮面积占比;z值
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,cgrn,"Sown area of grain crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",232.1810,,6.99,***,238,,3SLS(IV=补贴),1,0,Cotton region: 14 major cotton provinces,2000-2016,subgroup,,,,Table 3 col(2) Grain (Cotton region),z值
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,mixed,"Sown area of cotton (1000 ha, level)","Total power of agricultural machinery (million kw, level)",-66.3974,,-4.14,***,238,,3SLS(IV=补贴),1,0,Cotton region: 14 major cotton provinces,2000-2016,subgroup,,,,Table 3 col(3) Cotton,"非粮(棉花)面积,趋粮化镜像;z值"
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,cgrn,"Sown area of grain crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",709.9630,,10.40,***,408,,3SLS(IV=补贴),1,0,Oil crops region: 24 provinces,2000-2016,subgroup,,,,Table 3 col(5) Grain (Oil region),z值
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,mixed,"Sown area of oil crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",-78.0803,,-4.67,***,408,,3SLS(IV=补贴),1,0,Oil crops region: 24 provinces,2000-2016,subgroup,,,,Table 3 col(6) Oil crops,"非粮(油料)面积,趋粮化镜像;z值"
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,cgrn,"Sown area of grain crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",1366.4131,,8.66,***,170,,3SLS(IV=补贴),1,0,Sugar crops region: 10 provinces,2000-2016,subgroup,,,,Table 3 col(8) Grain (Sugar region),z值
214-The_impact_of_mechanization_on_crop_production_in_China,Qiao 2023,en,Area,MCI,mixed,"Sown area of sugar crops (1000 ha, level)","Total power of agricultural machinery (million kw, level)",-58.1822,,-3.14,***,170,,3SLS(IV=补贴),1,0,Sugar crops region: 10 provinces,2000-2016,subgroup,,,,Table 3 col(9) Sugar crops,"非粮(糖料)面积,趋粮化镜像;z值"
215-The_impact_of_the_supply_of_farmland_level_of_agricultural_mechanisation_and,Abate & Kuang 2021,en,Yield,MCI,cgrn,"ln(output of grain crops, tons) LNOGC",ln(total power of agricultural machinery) LNTPAM,0.2278,0.0381,,***,40,,ARDL长期协整,0,0,China national,1978-2017,baseline,,,0.2278,Table 6,长期弹性;表中同时报t=5.97;国家层面时间序列;总产量(非单产)
215-The_impact_of_the_supply_of_farmland_level_of_agricultural_mechanisation_and,Abate & Kuang 2021,en,Yield,MCI,cgrn,Δln(output of grain crops) ΔLNOGC,Δln(total power of agricultural machinery) ΔLNTPAM(当期),-0.0486,,-0.34,0.736,40,,ARDL-ECM短期,0,0,China national,1978-2017,robust,,,,Table 7,"短期误差修正模型当期项,不显著"
215-The_impact_of_the_supply_of_farmland_level_of_agricultural_mechanisation_and,Abate & Kuang 2021,en,Yield,MCI,cgrn,Δln(output of grain crops) ΔLNOGC,ΔLNTPAM滞后1期,-0.2090,,-1.00,0.325,40,,ARDL-ECM短期,0,0,China national,1978-2017,robust,,,,Table 7,"短期滞后1期项,不显著"
215-The_impact_of_the_supply_of_farmland_level_of_agricultural_mechanisation_and,Abate & Kuang 2021,en,Yield,MCI,cgrn,Δln(output of grain crops) ΔLNOGC,ΔLNTPAM滞后2期,0.3393,,2.54,0.016,40,,ARDL-ECM短期,0,0,China national,1978-2017,robust,,,0.3393,Table 7,"短期滞后2期弹性,正文引述约0.33"
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.600,0.057,,***,221,,POLS,0,0,Jiangsu 13 prefecture cities,2000-2016,robust,,,,Table 2 Model 1,"POLS无控制变量无FE,逐步回归起点;White稳健SE"
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.229,0.031,,***,221,,POLS,0,0,Jiangsu 13 prefecture cities,2000-2016,robust,,,,Table 2 Model 2,POLS加面积/化肥;White稳健SE
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.128,0.034,,***,221,,POLS,0,0,Jiangsu 13 prefecture cities,2000-2016,robust,,,,Table 2 Model 3,POLS全控制变量无FE;White稳健SE
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.544,0.058,,***,221,,FE,0,0,Jiangsu 13 prefecture cities,2000-2016,robust,,,,Table 2 Model 4,双向FE无控制变量;White稳健SE
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.059,0.035,,*,221,,FE,0,0,Jiangsu 13 prefecture cities,2000-2016,robust,,,,Table 2 Model 5,双向FE部分控制变量;White稳健SE
216-Threshold_effect_or_spatial_spillover_The_impact_of_agricultural_mechanizati,Wu et al. 2021,en,Yield,MCI,cgrn,"ln(total grain yield, tons)",ln(total power of agricultural machinery),0.054,0.026,,**,221,,FE,0,0,Jiangsu 13 prefecture cities,2000-2016,baseline,,,0.054,Table 2 Model 6,双向FE全控制变量;正文引述1%机械化提升产量约5%;White稳健SE
