study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total grain yields (1000 kg) (RIF at 25th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.107,0.024,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,7.06,0.163,,Table 6 col(2) Grain yields(total) 25th,"AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total grain yields (1000 kg) (RIF at 50th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.143,0.027,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,7.06,0.163,,Table 6 col(3) Grain yields(total) 50th,"AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total grain yields (1000 kg) (RIF at 75th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.158,0.022,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,7.06,0.163,,Table 6 col(4) Grain yields(total) 75th,"AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total net returns (1000 yuan) (RIF at 25th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.036,0.025,,n.s.,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,11.342,0.163,,Table 6 col(5) Net returns(total) 25th,"因变量为净收益(总收入-生产成本),非严格产值口径,分析阶段酌情取舍;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total net returns (1000 yuan) (RIF at 50th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.078,0.027,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,11.342,0.163,,Table 6 col(6) Net returns(total) 50th,"因变量为净收益(总收入-生产成本),非严格产值口径,分析阶段酌情取舍;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Total net returns (1000 yuan) (RIF at 75th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.068,0.023,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),baseline,11.342,0.163,,Table 6 col(7) Net returns(total) 75th,"因变量为净收益(总收入-生产成本),非严格产值口径,分析阶段酌情取舍;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Grain yields per mu (1000 kg/mu) (RIF at 25th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.128,0.025,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),robust,,0.163,,Table 6 col(8) Grain yields(mean) 25th,"每亩口径复核性回归;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Grain yields per mu (1000 kg/mu) (RIF at 50th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.208,0.029,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),robust,,0.163,,Table 6 col(9) Grain yields(mean) 50th,"每亩口径复核性回归;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Grain yields per mu (1000 kg/mu) (RIF at 75th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.241,0.026,,***,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),robust,,0.163,,Table 6 col(10) Grain yields(mean) 75th,"每亩口径复核性回归;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
203-Land_transfer-in_choices_agricultural_mechanization_services_and_farm_perfor,Wang & Huang 2025,en,Yield,AMS,cgrn,"Net returns per mu (1000 yuan/mu) (RIF at 25th quantile, level)","AMS adoption (per mu AMS adoption costs, 1000 yuan/mu; predicted value, level)",0.043,0.025,,*,2024,,UQR(RIF-OLS),1,1,"China national (CRRS, east/central/west/northeast)",2019(2020 CRRS survey),robust,,0.163,,Table 6 col(11) Net returns(mean) 25th,"每亩口径复核性回归;因变量为净收益(总收入-生产成本),非严格产值口径,分析阶段酌情取舍;AMS为控制处理内生性的预测值(第一阶段MVTE/GPS);dep_var原始量纲见表1,回归中疑经标准化,原文未明示"
