draw,group,alpha,beta,delta,tau,omega,kappa
1,dairyegg,0.0083565872791124,0.0,0.0071800723242681,0.009693000286838,0.643426790052358,4.878818357759847
1,grain,0.0039692125535204,0.0,0.6753615402692493,0.0316501963689336,0.643426790052358,4.878818357759847
1,meatother,0.000622811913074,0.0,0.0343629187820154,0.052405583253,0.643426790052358,4.878818357759847
1,nonfood,0.9427239355453816,1.0,68.7278945119309,0.041456414963691,0.643426790052358,4.878818357759847
1,oil,0.0011157260993416,0.0,0.1689238357392406,0.0768644043175822,0.643426790052358,4.878818357759847
1,pork,0.0262235922667857,0.0,0.077857585492396,0.0010850785596618,0.643426790052358,4.878818357759847
1,vegfruit,0.0169881343427842,0.0,0.0224467885178912,0.0514178098715791,0.643426790052358,4.878818357759847
2,dairyegg,0.0090456090925294,0.0,0.0072573929553751,0.0090994907616373,0.6977001574325998,4.852363560852454
2,grain,0.0040104352128801,0.0,0.7047048294784023,0.0308038813181491,0.6977001574325998,4.852363560852454
2,meatother,0.0006114414425129,0.0,0.0335385799440809,0.0523686716737869,0.6977001574325998,4.852363560852454
2,nonfood,0.9409222205553934,1.0,68.29686087687256,0.0406004857409305,0.6977001574325998,4.852363560852454
2,oil,0.001128845345653,0.0,0.1715776778856268,0.0737687180489397,0.6977001574325998,4.852363560852454
2,pork,0.0263115364295288,0.0,0.0743543102894089,0.0010032150789205,0.6977001574325998,4.852363560852454
2,vegfruit,0.0179699119215019,0.0,0.0239447342063225,0.0527604268959819,0.6977001574325998,4.852363560852454
3,dairyegg,0.0088565944481307,0.0,0.0067770227319688,0.0105678306093762,0.7241999994803308,4.937646957742792
3,grain,0.0040174303782684,0.0,0.6606768953389235,0.0291271948694181,0.7241999994803308,4.937646957742792
3,meatother,0.0005930748360444,0.0,0.0344120866166081,0.0528663673483527,0.7241999994803308,4.937646957742792
3,nonfood,0.9420034635884762,1.0,71.0188881149703,0.0416110109137189,0.7241999994803308,4.937646957742792
3,oil,0.0011803331740812,0.0,0.1688000930404821,0.0682908611476742,0.7241999994803308,4.937646957742792
3,pork,0.0250607861115442,0.0,0.0773059827210179,0.0009875271965886,0.7241999994803308,4.937646957742792
3,vegfruit,0.0182883174634546,0.0,0.0235088115587737,0.0514407825622886,0.7241999994803308,4.937646957742792
4,dairyegg,0.0090626698444739,0.0,0.0060065682132602,0.0093215203825018,0.4543240758888922,5.282850959162752
4,grain,0.0052926098478279,0.0,0.5725884031355033,0.0336921919107154,0.4543240758888922,5.282850959162752
4,meatother,0.0006529832820935,0.0,0.0136992896077752,0.0780958578159058,0.4543240758888922,5.282850959162752
4,nonfood,0.949244797910294,1.0,111.95316564738854,0.0444015927802544,0.4543240758888922,5.282850959162752
4,oil,0.001172713828964,0.0,0.1461762168498138,0.08276997763762,0.4543240758888922,5.282850959162752
4,pork,0.019545201202143,0.0,0.0927921017436765,0.0010187804121659,0.4543240758888922,5.282850959162752
4,vegfruit,0.0150290240842035,0.0,0.0295770072216529,0.0504774634983448,0.4543240758888922,5.282850959162752
5,dairyegg,0.0093995193190618,0.0,0.0066364025626002,0.0089549358261059,0.7584952417465995,4.8754912255865115
5,grain,0.0042715032985125,0.0,0.6280970780511789,0.0306676806210052,0.7584952417465995,4.8754912255865115
5,meatother,0.0006935997984158,0.0,0.0332593797693348,0.0513291896995412,0.7584952417465995,4.8754912255865115
5,nonfood,0.9388938032350632,1.0,68.12117583265142,0.0406339562857972,0.7584952417465995,4.8754912255865115
