variant,income,group,group_label_cn,items,quantity_2000kcal_elasticity,expenditure_elasticity,budget_share_elasticity,xhat,budget_share,phi,u,support_flag
robust_real_derived_cpi_nonfood,10000.0,grain,粮食/主粮,grain,-0.15124238883044192,-0.15124238883044192,-1.151242388830442,0.5903978593823723,0.05016747717859305,0.0014095389963959244,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,oil,食用油,oil,-0.08078599751067428,-0.08078599751067428,-1.0807859975106742,0.1531798948810184,0.07952954771040115,2.6979023889831526e-06,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,vegfruit,蔬菜水果,vegetable+fruit,0.2566380579900012,0.2566380579900012,-0.7433619420099988,0.032872147828153175,0.027694498687040853,0.0035930580319301197,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,pork,猪肉,pork,0.19829086328910486,0.19829086328910486,-0.8017091367108952,0.07698402564496476,0.018284675960481063,0.0070040711467396,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,1.0798538180956847,1.0798538180956847,0.0798538180956847,0.012860270553785472,0.01329103425264637,2.6979023889831526e-06,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,dairyegg,奶蛋类,milk+egg,1.4633200399776283,1.4633200399776283,0.4633200399776283,0.006784196079278304,0.0020697533911675807,0.0019118260325933206,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,10000.0,nonfood,其他/未覆盖支出,,1.2187183799035644,1.2187183799035644,0.21871837990356435,80.896301281967,0.80896301281967,0.9860761099875631,-2.422184916968793,extrapolation
robust_real_derived_cpi_nonfood,20000.0,grain,粮食/主粮,grain,-0.17217748177459247,-0.17217748177459247,-1.1721774817745925,0.5283023362751309,0.022445538188608945,0.0012167777393331798,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,oil,食用油,oil,-0.09304663644133561,-0.09304663644133561,-1.0930466364413356,0.14428031061324428,0.03745448400881948,2.328951223202921e-06,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,vegfruit,蔬菜水果,vegetable+fruit,0.27036424945445203,0.27036424945445203,-0.729635750545548,0.039486369280127526,0.01663346137133048,0.0031016900139432687,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,pork,猪肉,pork,0.2952737811376932,0.2952737811376932,-0.7047262188623068,0.09174313319482388,0.010895074971805705,0.006046230631326722,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.6594953432391675,0.6594953432391675,-0.3405046567608325,0.022848625853065425,0.01180697822681514,2.328951223202921e-06,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,dairyegg,奶蛋类,milk+egg,0.8832588702479577,0.8832588702479577,-0.11674112975204232,0.014727515903273345,0.002246568762758783,0.0016503746004085718,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,20000.0,nonfood,其他/未覆盖支出,,1.1016637115016896,1.1016637115016896,0.10166371150168962,179.7035788939723,0.8985178944698615,0.9879802691125419,-1.3424567876353586,extrapolation
robust_real_derived_cpi_nonfood,30000.0,grain,粮食/主粮,grain,-0.18897333910801717,-0.18897333910801717,-1.188973339108017,0.49102454435382187,0.013907831942778946,0.0010682667530836692,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,oil,食用油,oil,-0.10110327415834684,-0.10110327415834684,-1.1011032741583469,0.13870669377716063,0.024005066350409283,2.044696480611709e-06,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,vegfruit,蔬菜水果,vegetable+fruit,0.26625169086988293,0.26625169086988293,-0.7337483091301171,0.0440442559379218,0.012368967538731877,0.002723120429605367,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,pork,猪肉,pork,0.3107180444050921,0.3107180444050921,-0.6892819555949079,0.10385798280883579,0.008222526451252087,0.005308271967945504,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.5408681395870962,0.5408681395870962,-0.45913186041290377,0.029104938259774844,0.010026609463981012,2.044696480611709e-06,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,dairyegg,奶蛋类,milk+egg,0.7105454183588777,0.7105454183588777,-0.28945458164112225,0.020312728056243783,0.002065699816012583,0.001448941954441414,-0.8288838320486862,in_support
robust_real_derived_cpi_nonfood,30000.0,nonfood,其他/未覆盖支出,,1.0676917214998134,1.0676917214998134,0.0676917214998134,278.82098953105026,0.9294032984368342,0.9894473095019628,-0.8288838320486862,in_support
