setting,system,food_group10,own_price,expenditure
unconstrained,unconditional,G01_主食,-1.07919607903987,1.01408683226591
unconstrained,unconditional,G02_食用油,-0.777940488408706,1.20140032000564
unconstrained,unconditional,G03_蔬菜,-0.817970809198483,0.670598307444469
unconstrained,unconditional,G04_水果,-1.07869202827752,0.882001814204815
unconstrained,unconditional,G05_猪肉,-0.644419991094735,1.02081490701263
unconstrained,unconditional,G06_禽类及其他肉类,-1.15616333919434,1.03307892628816
unconstrained,unconditional,G07_牛羊肉,-0.743983747546342,1.43784111701032
unconstrained,unconditional,G08_海鲜,-0.937989185188366,0.98210910624436
unconstrained,unconditional,G09_乳制品,-1.00246608468584,0.961814401233954
unconstrained,latent,G01_主食,-2.50251277543633,1.24397123248716
unconstrained,latent,G02_食用油,-0.210456983286267,1.43499951307844
unconstrained,latent,G03_蔬菜,-0.881115358645521,0.859824912090031
unconstrained,latent,G04_水果,-1.10307914531197,0.98936099045768
unconstrained,latent,G05_猪肉,-0.461219395790591,1.12334170822102
unconstrained,latent,G06_禽类及其他肉类,-1.27800641600901,0.874183215776219
unconstrained,latent,G07_牛羊肉,-0.55464174618949,1.31018110765204
unconstrained,latent,G08_海鲜,-0.89130455876756,0.922590352502235
unconstrained,latent,G09_乳制品,-1.01712315092791,0.97969282573381
B_only,unconditional,G01_主食,-1.22614842928797,1.01284957085412
B_only,unconditional,G02_食用油,-1.06467492576838,1.20039662562157
B_only,unconditional,G03_蔬菜,-0.865072783003935,0.668559510296761
B_only,unconditional,G04_水果,-1.1350178497109,0.881875212782488
B_only,unconditional,G05_猪肉,-0.644768343018595,1.01571556300771
B_only,unconditional,G06_禽类及其他肉类,-1.27335755152935,1.03284432247731
B_only,unconditional,G07_牛羊肉,-0.940553492588886,1.43847403513579
B_only,unconditional,G08_海鲜,-1.11758858024131,0.981523256232381
B_only,unconditional,G09_乳制品,-1.13074571950563,0.959712981074576
B_only,latent,G01_主食,-3.06174247233813,1.23697723541157
B_only,latent,G02_食用油,-1.67153219341097,1.42730476977427
B_only,latent,G03_蔬菜,-0.932053645064137,0.857301921689244
B_only,latent,G04_水果,-1.17952843356002,0.989992936664813
B_only,latent,G05_猪肉,-0.477017748116222,1.11750245516597
B_only,latent,G06_禽类及其他肉类,-1.54213884211077,0.873438818827349
B_only,latent,G07_牛羊肉,-1.00187095786486,1.31037541826435
B_only,latent,G08_海鲜,-1.17906780487261,0.921802052042933
B_only,latent,G09_乳制品,-1.24445397297707,0.974857343222661
mean_point,unconditional,G01_主食,-1.36538163850674,1.01524808824715
mean_point,unconditional,G02_食用油,-1.05658044241269,1.20380002122541
mean_point,unconditional,G03_蔬菜,-1.39095150202521,0.676647690089351
mean_point,unconditional,G04_水果,-1.22566159152133,0.880589980101237
mean_point,unconditional,G05_猪肉,-0.969848252407419,1.02063650840092
mean_point,unconditional,G06_禽类及其他肉类,-1.14952280694904,1.03259200432708
mean_point,unconditional,G07_牛羊肉,-1.02148679567188,1.43550556458671
mean_point,unconditional,G08_海鲜,-1.2606386940647,0.982411707317781
mean_point,unconditional,G09_乳制品,-1.01315569961503,0.96000970006945
mean_point,latent,G01_主食,-3.45907187511518,1.25659875648306
mean_point,latent,G02_食用油,-1.44879576092094,1.43193123315306
mean_point,latent,G03_蔬菜,-1.1408714339158,0.862116327253086
mean_point,latent,G04_水果,-1.29876201689929,0.988353573084856
mean_point,latent,G05_猪肉,-1.00046888448408,1.12413994245353
mean_point,latent,G06_禽类及其他肉类,-1.33492291624689,0.87436451241015
mean_point,latent,G07_牛羊肉,-1.08708244316589,1.29836856920133
mean_point,latent,G08_海鲜,-1.40575681790894,0.923824868381365
mean_point,latent,G09_乳制品,-1.06024100421391,0.975111114582891
two_point_5_95,unconditional,G01_主食,-2.23456213145111,1.01558047207011
two_point_5_95,unconditional,G02_食用油,-1.78616459666826,1.20156204557509
two_point_5_95,unconditional,G03_蔬菜,-1.11935233581081,0.673495517582102
two_point_5_95,unconditional,G04_水果,-1.38564774872139,0.882308619057649
two_point_5_95,unconditional,G05_猪肉,-1.048562477276,1.02022759077124
two_point_5_95,unconditional,G06_禽类及其他肉类,-1.4084172655782,1.0333866445626
two_point_5_95,unconditional,G07_牛羊肉,-1.25153885710294,1.43671260981082
two_point_5_95,unconditional,G08_海鲜,-1.43927413620101,0.982883573330007
two_point_5_95,unconditional,G09_乳制品,-1.28568100537192,0.961595769720152
two_point_5_95,latent,G01_主食,-6.43903739731703,1.2521094275261
two_point_5_95,latent,G02_食用油,-4.02405217038451,1.42321813541051
two_point_5_95,latent,G03_蔬菜,-1.05151448363943,0.861607181905647
two_point_5_95,latent,G04_水果,-1.5024034612562,0.990780583664138
two_point_5_95,latent,G05_猪肉,-1.12787570171057,1.12304259088204
two_point_5_95,latent,G06_禽类及其他肉类,-1.77172192406136,0.873201399241239
two_point_5_95,latent,G07_牛羊肉,-1.42867777723864,1.30043935259216
two_point_5_95,latent,G08_海鲜,-1.62623142351322,0.923333721385544
two_point_5_95,latent,G09_乳制品,-1.50148228552986,0.9775492525601
two_point_1_99,unconditional,G01_主食,-2.45389191056238,1.01609896405133
two_point_1_99,unconditional,G02_食用油,-1.8332464985516,1.20229017889656
